0,1,2
PZKMIPTNXY,2758082,23
JOBVDAKNS,2404774,175
COJNA,505172,168
XIODIWUTHA,1673243,119
ZAMSF,7525781,104
MCFZKR,6706835,53
WLERTRMSI,7421393,33
LBIDJWULKO,5573673,70
AEXVYSPW,4944655,184
BCP,4514304,166
FZV,4630156,195
ENR,2428383,158
MYKIYXQWK,6066825,36
CJEOAVFQJ,6383191,49
JKRB,1097769,192
UCFOBAL,50866,134
YQGB,5221864,162
TUWU,2083421,29
BFPAFBRP,7683120,190
NATVKG,4625984,94
KHU,7409186,122
HQKD,7930176,87
WMMOFQ,7350441,12
ZIAS,6809694,3
EZMVDI,7446653,122
JKURS,2898625,21
DFXEOZS,8619714,72
OSF,8895957,155
UPITGA,9304588,139
JPEWILNCHS,2961331,191
WOZY,4822613,103
FWSQBHRC,6475612,63
XHGLBE,359161,123
WIDMFP,7805389,193
DXZXHDPBM,6115127,130
VKXDQTKVKC,8520532,32
ZYZUXKYGYW,9754125,49
OCWCYHIC,221171,91
XGLNB,5180180,162
FCXASFJ,6037442,194
BWGZISZ,4290690,104
BQJCMBDX,300821,197
RVO,2397387,174
GFRVPIPD,4633500,143
OUFVUSSOC,2583637,144
MGCLLFE,5495967,37
GOYUK,796095,16
DJRXM,3317362,95
MRRMCKDEUT,1636279,191
JMQIGE,766913,13
QSDKTHKUS,6638526,101
GNHOA,1571011,49
RPYTQP,7254399,4
RGDSPLNG,1806892,140
QIZOONC,4462640,184
QUEI,5899112,197
KIHGQL,6238715,50
DQGOZV,1087016,159
LCWUMFMXBF,4653243,167
WPFLR,9047005,100
LXKYDMTVM,1803624,159
VJKDQBG,5273693,192
AZNVPDCK,5435600,125
BRWZS,5316183,124
ZJWRL,4205396,20
CKPSWFLUT,8797687,15
XYCPHVPRMQ,1158018,92
EOXEQAZA,5933887,99
PQJE,9917626,179
HWAQBCZJV,1884608,78
YIAUQSIUZK,1832377,133
UUFQGGJP,5123527,9
ITNE,3708496,56
OHETCAYNM,6713120,71
CYVNCZFJFH,4402799,44
IWYVUYGXBX,5229560,127
SUXU,8918513,79
ZQMXVA,6002637,65
MOJKOKG,217767,137
FOFFLC,3417213,96
WPR,3451180,168
GFAZNAVLOW,388744,185
KCBRID,3828586,42
CJXICFZKC,3082531,191
ZXNNAZWNNP,911385,118
FGRPSE,5971977,54
EJIHT,7754152,117
GIPMR,9087290,52
GXHVOFSHA,8843151,63
AWDBRO,1444883,170
GYYDXNRHJM,8944038,27
JTSPTXLCQ,3815139,148
DETMP,1305786,64
AAHL,2845655,172
TMJQ,6327416,40
XLILJUWEIX,6221613,83
NVESZFYSL,1638409,139
BOTWLC,5055386,159
POSC,2789044,12
BFDZT,7766577,127
OZUKRPM,1855384,58
YQOAHU,1766986,72
AVZNPHSH,6660481,172
LMQZLE,6734190,60
BQFA,2571882,10
WKETGSZKI,1922793,46
IGPJYMD,5256036,112
GTAAKL,2076884,169
PQYJTWIHXF,6602012,186
XLBQUCA,919813,49
WAWEPKXYX,7300606,147
QJHKXVXB,5577381,198
RJYURT,5327201,141
ZBPWT,8424076,79
DWUKP,8128297,117
QOA,1773045,143
XVS,5076626,57
PNV,9360930,108
UJC,1309597,103
LLVONYZCEI,592301,200
HSZVDQO,9775825,61
PLGGTOCDBN,7274690,14
EPA,3156512,84
GREBIR,4605798,111
PDR,3195039,179
GIN,3389608,157
QBGYGBVI,9233521,9
PPOUOJ,3018444,157
TOKBXW,3406118,3
BZR,7133009,136
PUWXBGNG,3518944,39
HADYU,5794115,124
FTMGEGHQJ,7919526,12
GJDJQBCIF,2084997,72
SSWPQP,2669627,142
TIGLM,2669920,38
QYBXLJBHSM,2347386,167
QPCR,9467306,160
YNQ,4125029,135
XGPL,8215419,30
SZDOZDT,1082899,122
NTZ,4225256,5
VIXDRIPOB,4699687,159
BDSDYFVMGW,3568897,195
JPNMIMIBZV,8066662,199
MDVVNK,8455091,70
LOATPND,1978547,93
OOWPPQKQFP,7954893,73
FRQJJ,4918806,110
COH,3494390,166
XOZYQU,9228645,155
EDCQASEEHO,688405,111
IUDNKY,2152944,118
KOGLIX,3241171,33
CJDUFSK,3058012,193
EOK,8759404,198
RXGSX,8043785,108
KHRHRMI,4632122,154
YMPS,4416251,124
SUYDIAC,4477486,59
UFASM,9859040,196
BFSITPLDV,1869246,131
JUPTWTK,940660,31
EIPG,1432586,104
YFFCMTGMP,5756063,71
RMFVO,2755052,109
YBXXEVJR,1119540,142
SAHQ,1646167,185
RTIRNIDR,8060893,187
CXWTIDW,4517473,63
YDXWC,6341761,86
OPQWWBUWRA,3243469,19
FDDEPVH,3984486,145
NZAAFUVC,8426640,31
HZQEIS,1295095,40
TYXHHPURH,1157623,63
UBYAQMUZI,443451,161
DIHUSFI,4436360,76
VDLDGGM,1771558,191
BBETI,2680010,41
NEBDM,1038197,171
YQFDQMGVKI,2005493,142
DBSNBFV,2932055,184
LTS,9123205,90
PLFGBQGL,1426284,122
HFEDISNPVT,9474518,92
RWDKC,3494973,3
OBB,6511763,77
AQDAD,8386905,15
PNCD,6951677,44
OJIGF,7600187,139
VQNM,4980146,66
NCOSNDOOO,3585332,200
FDVSFREV,3015371,35
LGYROQVMS,6644980,83
RZLWZKE,7451916,53
AVKVWXRFME,4085699,62
BNWHKH,5573423,24
WBHB,7554663,187
WKBGHXSR,2429727,12
XNOJT,563503,152
IORSDS,3953676,47
ULOL,8205454,186
BPVE,3417690,79
CISWZXEL,6037652,192
GCU,764966,107
RAIKGP,5300943,189
RMNOJAQ,4942176,154
BJGHBWY,6398010,22
XUUSNJQX,27522,87
LACU,414577,161
XSZ,5560526,75
VEKJJ,9385913,32
TMRTHHLU,7976329,179
TXPWUOULTS,7451356,187
UOPTGJRCWV,2537660,77
UAYZSIFM,885097,39
ADPXAKLN,4446138,183
VWVHDAFFKS,4237899,84
KLDBXFOZ,3694258,2
NTYMYUBGEC,1042255,121
MLBJARHV,5139851,38
QZJBMGDYCA,8692039,15
