0,1,2
XOYBIUQ,99958,190
SDKT,99956,7
YFRALF,99950,131
VMSLGF,99924,187
JPASWAGTK,99881,99
FCSNRT,99879,56
VYOO,99862,19
LNNSRD,99846,52
ASRF,99830,82
FYT,99778,175
KNOUCTOR,99775,63
VUYSPAQ,99744,200
SJO,99739,3
FKTJCTMBH,99653,173
RPVAQOCTDL,99646,46
GEMXPELRE,99644,72
QMXAJQHRUW,99640,114
FPDLQL,99610,184
UVYN,99603,60
YQP,99597,63
AJI,99588,44
MASBDG,99574,17
TTGCXF,99570,16
NFFT,99557,160
KKL,99549,84
NTYNYY,99537,147
SINQCVDA,99534,151
IPTS,99533,73
OPBPWLBYFT,99512,15
ASXDEUHCI,99487,32
MSUVVRR,99483,89
VNSRVWN,99476,79
AFUWPQRNV,99456,125
QIUCXIBU,99435,97
KRNCRXWZG,99430,165
HNZ,99402,149
CPLMZKXF,99370,71
ACMROIV,99368,97
YBFINAPFD,99362,162
KCVHQI,99357,151
DWXB,99349,198
EYZTKTX,99340,157
RJZDMKEFG,99321,150
NIDMSTKJGI,99310,57
UETVL,99265,27
HCKCNIY,99250,171
GNVJHB,99242,102
FITAPTA,99208,161
EFFWUFPIQ,99208,149
JFEVUR,99183,66
BRMHI,99152,146
GOMHDG,99107,36
YGMAZW,99076,119
QYCCFVPYW,99076,155
UTU,99051,78
LPM,99047,118
OYAA,99007,153
NOFNAOTEM,98998,3
RZNHW,98994,163
BRAEHO,98990,119
VTOGLZQ,98905,200
LQHIWDYES,98785,191
KYHPKFX,98781,158
BBKNX,98751,141
SGFXAR,98727,4
STLSIE,98711,60
SMZJKWV,98696,127
WCTC,98680,60
LOSHHQFLL,98624,124
DDMXSITL,98615,191
ICDKHDBHIP,98606,65
BQJKPPLZUZ,98556,115
CMFTRQBY,98524,164
NKAQT,98510,38
SWISGWS,98467,17
QQYEAKDW,98453,156
ZAWOJ,98440,197
POMFTKEPOA,98400,137
JNV,98366,166
WCSYJVPH,98363,131
WYUPGNFZ,98360,93
YKXZRGURZ,98354,116
CCR,98352,96
WRNJ,98325,14
PCATSE,98316,194
RTTHLKLQAU,98291,61
YTR,98256,45
AUS,98245,118
KEUREOVGR,98204,186
FRCPQLZO,98188,72
NNTWJZZVFG,98181,109
KDZLOI,98181,137
HOYKJRYS,98160,142
VDJLX,98101,48
KYPSZ,98097,152
KHFJFF,98043,145
JFCOFTRYEY,98028,28
TOODLTJZ,98022,4
NRDYR,98002,104
PQBFZRI,97951,120
HSFJL,97941,86
SHMDIP,97923,65
VRLVGO,97916,32
ALWJ,97910,107
EDBV,97896,7
GXR,97831,82
VPFGKOCHSO,97819,112
FKWKYLD,97816,171
XZHTUY,97805,25
IZGLEJW,97798,165
ZQMWRMVEIC,97784,149
BJLLLHSH,97779,156
BYDMSMG,97764,167
CZX,97727,103
ONZMV,97723,91
CRMIGGDF,97713,74
MGAIFAYV,97703,188
LSJKQIYHH,97691,183
FFCMNYGOFL,97649,130
BHQ,97635,60
QLLTTBZ,97630,53
ICG,97613,191
HHKCBQIMU,97609,181
OPYGCNUDF,97607,148
CERFEHX,97598,23
MGCYKQ,97554,173
PYFXPB,97549,102
VLLKWSXEV,97537,129
YSXYKGNK,97537,51
GORVF,97532,150
OOQWXQTIL,97531,144
QNGWMT,97479,199
KLLK,97476,148
DBCYNIFJP,97471,67
HOLJGWDZH,97465,115
ZLTDHEUUL,97393,113
YEQJ,97374,160
UNC,97361,12
RGYHIT,97350,14
WKHK,97339,63
WRTJN,97336,150
YDPLDM,97297,40
IBIOJBGQ,97283,98
VEXOJ,97271,1
BOXM,97268,194
GINFJSQZ,97241,112
WEJB,97233,178
MVFORHQ,97228,61
YCX,97203,103
CEJJANZRXK,97198,191
VOMJGYC,97196,40
XSHGVIBPQ,97175,4
DWAXEKK,97148,176
SPYR,97127,4
AQBNJOA,97102,87
XSHKYSS,97055,119
HNYI,97007,71
HSHCY,96987,139
VGF,96984,108
MQDF,96971,164
CBPR,96926,135
XHPLYKRW,96925,20
VLHHDXFX,96919,115
SOG,96908,151
ZVVVSTCBTA,96901,120
QGD,96896,154
